SeniorCitizen,Partner,Dependents,tenure,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,total_services,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,0.4861111111111111,0,0,1,0,1,1,0,0.30692575984055814,0.1959342759764186,3,True,False,False,True,False,False,False,False,True,False
0,1,1,0.20833333333333331,1,0,0,0,0,0,0,0.5650224215246636,0.13259372697126015,2,False,True,False,True,False,False,False,False,False,True
0,1,1,0.18055555555555555,1,1,0,1,0,0,0,0.2207274539113104,0.06797508290346353,3,True,False,False,False,False,True,False,False,False,True
0,1,0,0.3611111111111111,0,1,1,0,1,1,1,0.5490782262082711,0.219429347826087,5,True,False,False,False,False,True,False,True,False,False
0,1,1,0.013888888888888888,0,0,0,0,0,0,0,0.260587942202292,0.005129651805453206,1,True,False,False,True,False,False,False,False,True,False
0,0,1,0.9166666666666666,0,1,1,1,1,1,1,0.6088689586447434,0.5982981761238026,6,True,False,False,False,False,True,False,True,False,False
0,0,0,0.013888888888888888,0,0,0,0,0,0,0,0.013951170901843585,0.002279845246868092,1,False,False,True,True,False,False,False,True,False,False
0,1,0,0.5555555555555556,0,1,0,0,0,0,0,0.380667663178874,0.273938375092115,3,True,False,False,True,False,False,False,True,False,False
0,1,0,0.9027777777777777,0,0,0,1,1,0,1,0.41255605381165916,0.4384902358142963,3,True,False,False,False,False,True,False,True,False,False
0,0,0,0.8333333333333333,0,0,1,1,1,1,0,0.6193323368211261,0.5581072678703022,6,True,False,False,False,True,False,False,True,False,False
1,0,0,0.06944444444444445,1,1,0,1,0,0,0,0.41355256601893375,0.03314411385408991,4,True,False,False,True,False,False,False,True,False,False
0,1,1,0.06944444444444445,1,0,0,0,0,0,1,0.3089187842551071,0.0267766672807664,2,True,False,False,True,False,False,False,False,False,True
0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0.3243647234678626,0.014168432203389833,2,True,False,False,True,False,False,False,False,False,True
0,1,1,0.41666666666666663,1,1,1,1,0,0,0,0.4902840059790733,0.23031042741341198,6,True,False,False,True,False,False,False,False,True,False
0,1,0,0.5,0,0,0,0,1,1,1,0.7673143996013952,0.40003224023581435,4,False,True,False,True,False,False,False,False,True,False
0,1,1,0.7638888888888888,0,0,0,0,0,0,1,0.5047334329845541,0.44245117907148124,1,False,True,False,False,False,True,False,True,False,False
0,0,0,0.4305555555555555,1,0,1,0,0,0,1,0.6611858495266567,0.3009165438467208,4,False,True,False,True,False,False,False,True,False,False
1,1,1,0.38888888888888884,0,0,0,0,1,0,1,0.17438963627304435,0.11210966285924835,1,True,False,False,True,False,False,False,False,True,False
0,0,0,0.2222222222222222,0,0,0,0,0,0,0,0.005480817140009975,0.03762896094325719,1,False,False,True,False,False,True,False,True,False,False
0,0,0,0.08333333333333333,0,0,0,0,0,0,0,0.017438963627304432,0.015026252763448785,1,False,False,True,True,False,False,True,False,False,False
1,1,0,0.375,1,0,1,0,0,0,1,0.6726457399103141,0.2556305268975682,4,False,True,False,False,True,False,False,False,True,False
0,0,0,0.8055555555555555,0,0,0,0,0,0,1,0.06875934230194322,0.16976211311717024,2,False,False,True,False,False,True,False,True,False,False
0,1,1,1.0,1,1,1,1,0,1,1,0.8619830592924765,0.8903659266764924,7,False,True,False,False,False,True,False,True,False,False
0,0,0,0.38888888888888884,0,0,1,1,0,0,1,0.17289486796213258,0.11069915254237289,2,True,False,False,True,False,False,False,False,False,True
0,1,1,0.5555555555555556,0,0,1,0,1,0,1,0.6641753861484804,0.38638195467944003,3,False,True,False,False,True,False,False,False,True,False
0,0,0,0.013888888888888888,0,0,0,0,0,0,0,0.020926756352765336,0.002360445836403832,1,False,False,True,True,False,False,False,False,False,True
0,0,0,0.06944444444444445,0,0,0,0,0,1,1,0.6138515196811162,0.047496775976418576,2,False,True,False,True,False,False,False,False,True,False
